Name,ParentFolder,LastFolder,PathDepth,Type,FullName,Value,AppliedTo
$plv_Cotter_LevelSurfaceArea_2009,$ICON_storages,$ICON_storages.Cotter,3,Linear Variable,$ICON_storages.Cotter.plv_Cotter_LevelSurfaceArea_2009,{0|0}{475.8|2.778E-05}{476.3|0.001346648}{476.8|0.00153462}{477.3|0.001843502}{477.8|0.003813903}{478.3|0.00748756}{478.8|0.010461533}{479.3|0.013391261}{479.8|0.016564091}{480.3|0.020312933}{480.8|0.024522427}{481.3|0.029010788}{481.8|0.033693359}{482.3|0.038788061}{482.8|0.043695101}{483.3|0.048866715}{483.8|0.055886209}{484.3|0.063331455}{484.8|0.06998358}{485.3|0.077265844}{485.8|0.086175189}{486.3|0.095619314}{486.8|0.104051946}{487.3|0.113076266}{487.8|0.123483874}{488.3|0.133346313}{488.8|0.144007316}{489.3|0.154296455}{489.8|0.164531161}{490.3|0.174429505}{490.8|0.185166033}{491.3|0.196249392}{491.8|0.205896445}{492.3|0.217262153}{492.8|0.229503781}{493.3|0.249371212}{493.8|0.267980403}{494.3|0.285291809}{494.8|0.30197599}{495.3|0.317818945}{495.8|0.33428164}{496.3|0.348764282}{496.8|0.362607178}{497.3|0.378411563}{497.8|0.394971193}{498.3|0.41665544}{498.8|0.437687892}{499.3|0.45546297}{499.8|0.470965407}{500.3|0.488027732}{500.8|0.525929631}{501.3|0.557976317}{501.8|0.581827679}{502.3|0.603151605}{502.8|0.622023898}{503.3|0.637046179}{503.8|0.656912729}{504.3|0.681496462}{504.8|0.704709724},NA
$plv_Cotter_Outlet_291_Valve,$ICON_storages,$ICON_storages.Cotter,3,Linear Variable,$ICON_storages.Cotter.plv_Cotter_Outlet_291_Valve,{0|0}{488|0}{490|500}{502.3|1000},NA
$plv_Cotter_Outlet_251_Valve,$ICON_storages,$ICON_storages.Cotter,3,Linear Variable,$ICON_storages.Cotter.plv_Cotter_Outlet_251_Valve,{0|0}{488|0}{490|500}{502.3|10000},NA
$mv_UMB_HW_Inflow_Murrumbidgee_River_above_Tantangara_410535,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_Murrumbidgee_River_above_Tantangara_410535,UMB_HW_Inflow_Murrumbidgee_River_above_Tantangara_410535/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_Molongolo_at_Yandyguinula_Ck,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_Molongolo_at_Yandyguinula_Ck,UMB_HW_Inflow_Molongolo_at_Yandyguinula_Ck/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_Molongolo_at_Molongolo_Pl_bridge,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_Molongolo_at_Molongolo_Pl_bridge,UMB_HW_Inflow_Molongolo_at_Molongolo_Pl_bridge/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_Dairy_Station_Ck_NSW,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_Dairy_Station_Ck_NSW,UMB_HW_Inflow_Dairy_Station_Ck_NSW/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_Dairy_Station_Ck_ACT,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_Dairy_Station_Ck_ACT,UMB_HW_Inflow_Dairy_Station_Ck_ACT/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_US_410705_NSW,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_US_410705_NSW,UMB_HW_Inflow_US_410705_NSW/Inflow Volume\Inflow Volume,NA
$mv_UMB_HW_Inflow_US_410705_ACT,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_HW_Inflow_US_410705_ACT,UMB_HW_Inflow_US_410705_ACT/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_410705_to_410729_ACT,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_410705_to_410729_ACT,UMB_Ung_Inflow_410705_to_410729_ACT/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_410781_to_Googong_Dam,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_410781_to_Googong_Dam,UMB_Ung_Inflow_410781_to_Googong_Dam/Inflow Volume\Inflow Volume,NA
$pv_Cotter_ACT_Env_Release,$ICON_storages,$ICON_storages.Cotter.ACT_Env_Guidelines,4,Pattern Variable,$ICON_storages.Cotter.ACT_Env_Guidelines.pv_Cotter_ACT_Env_Release,{15,NA
$mv_UMB_Ung_Inflow_410748_to_410760,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_410748_to_410760,UMB_Ung_Inflow_410748_to_410760/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_410760_to_410770,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_410760_to_410770,UMB_Ung_Inflow_410760_to_410770/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_Woolshed_Creek,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_Woolshed_Creek,UMB_Ung_Inflow_Woolshed_Creek/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_Fyshwick_and_Pialligo,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_Fyshwick_and_Pialligo,UMB_Ung_Inflow_Fyshwick_and_Pialligo/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_Reedy_Creek,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_Reedy_Creek,UMB_Ung_Inflow_Reedy_Creek/Inflow Volume\Inflow Volume,NA
$mv_UMB_Ung_Inflow_410705_to_410729_NSW,$Water_Balance,$Water_Balance.Inflows,3,Modelled Variable,$Water_Balance.Inflows.mv_UMB_Ung_Inflow_410705_to_410729_NSW,UMB_Ung_Inflow_410705_to_410729_NSW/Inflow Volume\Inflow Volume,NA
